Date,CalgaryUnemploymentRate
13-Jan,0.05
13-Feb,0.05
13-Mar,0.05
13-Apr,0.05
13-May,0.05
13-Jun,0.05
13-Jul,0.05
13-Aug,0.05
13-Sep,0.05
13-Oct,0.04
13-Nov,0.04
13-Dec,0.04
14-Jan,0.05
14-Feb,0.05
14-Mar,0.05
14-Apr,0.06
14-May,0.06
14-Jun,0.05
14-Jul,0.05
14-Aug,0.05
14-Sep,0.05
14-Oct,0.05
14-Nov,0.04
14-Dec,0.05
15-Jan,0.05
15-Feb,0.05
15-Mar,0.06
15-Apr,0.06
15-May,0.06
15-Jun,0.06
15-Jul,0.07
15-Aug,0.07
15-Sep,0.07
15-Oct,0.07
15-Nov,0.06
15-Dec,0.07
16-Jan,0.08
16-Feb,0.08
16-Mar,0.09
16-Apr,0.08
16-May,0.08
16-Jun,0.08
16-Jul,0.09
16-Aug,0.1
16-Sep,0.1
16-Oct,0.1
16-Nov,0.1
16-Dec,0.1
17-Jan,0.1
17-Feb,0.09
17-Mar,0.1
17-Apr,0.1
17-May,0.1
17-Jun,0.09
17-Jul,0.09
17-Aug,0.09
17-Sep,0.09
17-Oct,0.08
17-Nov,0.08
17-Dec,0.08
18-Jan,0.08
18-Feb,0.08
18-Mar,0.08
18-Apr,0.07
18-May,0.07
18-Jun,0.07
18-Jul,0.08
18-Aug,0.08
18-Sep,0.08
18-Oct,0.08
18-Nov,0.07
18-Dec,0.07
19-Jan,0.07
19-Feb,0.08
19-Mar,0.08
19-Apr,0.08
19-May,0.07
19-Jun,0.06
19-Jul,0.06
19-Aug,0.08
19-Sep,0.08
19-Oct,0.07
19-Nov,0.06
19-Dec,0.06
20-Jan,0.07
20-Feb,0.07
20-Mar,0.09
20-Apr,0.11
20-May,0.13
20-Jun,0.15
20-Jul,0.15
20-Aug,0.14
20-Sep,0.13
20-Oct,0.12
20-Nov,0.11
20-Dec,0.1
21-Jan,0.1
21-Feb,0.11
21-Mar,0.11
21-Apr,0.1
21-May,0.09
21-Jun,0.09
21-Jul,0.09
21-Aug,0.1
21-Sep,0.09
21-Oct,0.08
21-Nov,0.08
21-Dec,0.07
22-Jan,0.08
22-Feb,0.08
22-Mar,0.08
22-Apr,0.07
22-May,0.06
22-Jun,0.06
22-Jul,0.05
22-Aug,0.05
22-Sep,0.06
22-Oct,0.06
22-Nov,0.06
22-Dec,0.06
23-Jan,0.06
23-Feb,0.07
23-Mar,0.07
23-Apr,0.06
23-May,0.06
23-Jun,0.06
23-Jul,0.06
23-Aug,0.06
23-Sep,0.06
23-Oct,0.05
23-Nov,0.05
23-Dec,0.05
24-Jan,0.06
24-Feb,0.06
24-Mar,0.07
24-Apr,0.08
24-May,0.08
24-Jun,0.08
24-Jul,0.07
24-Aug,0.07
24-Sep,0.07
24-Oct,0.08
24-Nov,0.07
24-Dec,0.07
